action,FOLD,CALL/CHECK,BETS/RAISE,pot,stack,active player
Folds,0,0,1,7.25,74.35,2
Folds,0,0,1,0.75,20.3,2
Bets,0,0,0,0.25,73.6,2
Checks,0,0,0,8.25,11.8,2
Checks,0,1,0,8.25,74.05,2
Bets,0,0,0,8.25,9.0,2
Folds,0,0,1,17.25,67.25,2
Calls,0,0,1,16.25,15.3,2
Bets,0,0,0,11.25,56.5,2
Calls,0,0,1,4.25,33.55,2
Bets,0,0,0,2.25,52.75,2
Folds,0,0,1,2.75,39.45,2
Bets,0,0,0,1.25,50.0,2
Checks,0,1,0,0.25,39.2,2
Checks,0,0,0,0.25,52.65,2
Checks,0,1,0,2.25,36.15,2
Checks,0,0,0,2.25,53.4,2
Checks,0,1,0,8.25,34.75,2
Checks,0,0,0,8.25,48.65,2
Checks,0,0,0,2.25,33.5,2
Calls,0,1,1,4.25,31.5,2
Bets,0,1,0,2.25,53.45,2
Checks,0,1,0,0.25,36.15,2
Checks,0,0,0,0.25,53.85,2
Folds,0,0,1,7.25,35.47,2
Bets,0,0,0,4.25,47.33,2
Checks,0,0,0,2.25,34.22,2
Calls,0,1,1,4.25,32.22,2
Bets,0,1,0,2.25,51.33,2
Checks,0,0,0,15.25,23.97,2
Folds,0,1,1,23.25,23.97,2
Bets,0,1,0,15.25,42.23,2
Bets,0,1,0,17.25,2.969999999999999,2
Checks,0,0,0,17.25,50.23,2
Folds,0,1,1,35.25,50.23,2
Checks,0,1,0,2.25,37.22,2
Checks,0,0,0,2.25,48.48,2
Checks,0,0,0,6.25,34.82,2
Calls,0,1,1,10.25,30.82,2
Bets,0,1,0,6.25,42.58,2
Bets,0,0,0,2.25,22.77,2
Calls,0,0,2,11.25,19.77,2
Raises,0,0,1,5.25,52.63,2
Calls,0,0,1,1.25,28.12,2
Bets,0,0,0,0.25,55.63,2
Bets,0,0,0,14.25,12.620000000000001,2
Folds,0,0,1,23.25,49.98,2
Bets,0,0,0,8.25,18.47,2
Folds,0,0,2,39.0,18.47,2
Raises,0,0,1,14.5,26.880000000000003,2
Bets,0,0,0,5.25,8.469999999999999,2
Calls,0,0,1,11.25,57.980000000000004,2
Calls,0,0,1,3.25,36.47,2
Bets,0,0,0,2.25,72.48,2
Calls,0,0,1,2.25,35.47,2
Bets,0,0,0,1.25,74.23,2
Bets,0,1,0,0.25,31.47,2
Checks,0,0,0,0.25,78.03,2
Folds,0,1,1,3.25,78.03,2
Checks,0,1,0,0.25,34.42,2
Checks,0,0,0,0.25,78.03,2
Checks,0,0,0,6.25,32.12,2
Checks,0,1,0,6.25,74.28,2
Checks,0,1,0,0.25,38.02,2
Checks,0,0,0,0.25,74.03,2
Checks,0,0,0,14.25,31.72,2
Checks,0,1,0,14.25,66.28,2
Checks,0,0,0,8.25,78.85,2
Checks,0,1,0,8.25,122.03,2
Checks,0,1,0,8.25,63.06999999999999,2
Checks,0,0,0,8.25,88.65,2
Checks,0,0,0,2.25,61.82,2
Checks,0,1,0,2.25,95.45,2
Checks,0,1,0,2.25,136.82,2
Checks,0,0,0,2.25,34.77,2
Raises,0,0,1,21.75,63.900000000000006,2
Bets,0,0,0,20.25,113.23,2
Calls,0,0,2,30.75,105.73,2
Checks,0,0,0,7.25,131.32,2
Folds,0,1,1,14.75,131.32,2
Bets,0,1,0,7.25,27.47,2
Bets,0,1,0,17.25,48.269999999999996,2
Checks,0,0,0,17.25,83.65,2
Folds,0,1,1,26.25,83.65,2
Bets,0,1,0,6.25,124.57,2
Checks,0,0,0,6.25,39.32,2
Folds,0,1,1,9.25,39.32,2
Bets,0,1,0,4.25,70.22,2
Calls,0,1,2,11.75,67.72,2
Checks,0,0,0,4.25,80.65,2
Raises,0,1,1,6.75,75.65,2
Bets,0,1,0,14.25,119.72,2
Checks,0,0,0,14.25,32.32,2
Folds,0,1,1,20.75,32.32,2
Checks,0,0,0,23.25,128.97,2
Calls,0,1,1,32.75,119.47,2
Bets,0,1,0,23.25,10.57,2
Checks,0,0,0,17.25,41.07,2
Checks,0,1,0,17.25,97.85,2
Folds,0,0,1,3.75,43.82,2
Bets,0,0,0,2.25,107.6,2
Folds,0,0,1,10.75,115.72,2
Bets,0,0,0,6.25,45.32,2
Checks,0,0,0,0.25,49.72,2
Folds,0,1,1,1.75,49.72,2
Bets,0,1,0,0.25,102.95,2
Bets,0,0,0,4.25,43.75,2
Folds,0,0,1,8.25,23.0,2
Calls,0,0,1,36.25,22.369999999999997,2
Bets,0,0,0,26.25,85.2,2
Checks,0,0,0,0.25,119.82,2
Checks,0,1,0,0.25,50.67,2
Checks,0,0,0,0.25,49.0,2
Checks,0,1,0,0.25,25.2,2
Calls,0,0,1,36.05,21.95,2
All-In,0,0,0,20.25,0.5,2
Bets,0,0,0,2.25,52.3,2
Folds,0,0,1,5.25,35.75,2
Checks,0,0,0,4.25,54.1,2
Calls,0,1,1,9.25,49.1,2
Bets,0,1,0,4.25,28.35,2
Checks,0,0,0,0.25,49.95,2
Checks,0,1,0,0.25,40.85,2
Calls,0,0,1,13.75,39.7,2
Bets,0,0,0,8.25,32.05,2
Checks,0,0,0,0.25,39.45,2
Checks,0,1,0,0.25,50.8,2
Checks,0,1,0,2.25,65.0,2
Checks,0,0,0,2.25,42.45,2
Bets,0,0,0,2.25,63.599999999999994,2
Folds,0,0,1,5.25,40.7,2
Checks,0,0,0,20.25,90.0,2
Folds,0,1,1,36.25,90.0,2
Bets,0,1,0,20.25,82.65,2
Folds,0,0,1,18.25,85.0,2
Bets,0,0,0,10.25,105.15,2
Checks,0,1,0,2.25,83.75,2
Checks,0,0,0,2.25,121.9,2
Folds,0,0,1,13.25,80.6,2
Bets,0,0,0,8.25,113.75,2
Checks,0,0,0,2.25,80.1,2
Checks,0,1,0,2.25,124.8,2
Bets,0,1,0,22.25,63.349999999999994,2
Checks,0,0,0,22.25,116.4,2
Folds,0,1,1,27.25,116.4,2
Checks,0,0,0,20.25,80.35,2
Calls,0,1,1,39.25,61.349999999999994,2
Bets,0,1,0,20.25,86.75,2
Checks,0,1,0,11.25,55.85,2
Checks,0,0,0,11.25,138.75,2
Bets,0,1,0,10.25,45.6,2
Checks,0,0,0,10.25,144.5,2
Folds,0,1,1,15.25,144.5,2
Bets,0,1,0,0.25,58.6,2
Checks,0,0,0,0.25,145.0,2
Calls,0,1,1,1.25,144.0,2
Bets,0,0,0,6.25,51.85,2
Calls,0,0,1,9.75,139.6,2
Bets,0,1,0,0.25,10.0,2
Checks,0,0,0,0.25,156.65,2
Folds,0,1,1,10.25,156.65,2
Checks,0,0,0,0.5,51.95,1
Checks,0,1,0,0.5,22.78,1
Checks,0,1,0,0.25,48.35,2
Checks,0,0,0,0.25,126.45,2
Bets,0,1,0,2.25,45.3,2
Checks,0,0,0,2.25,125.45,2
Folds,0,1,1,4.25,125.45,2
Bets,0,1,0,7.25,40.65,2
Checks,0,0,0,7.25,121.95,2
Folds,0,1,1,12.25,121.95,2
Bets,0,1,0,0.25,50.7,2
Checks,0,0,0,0.25,120.45,2
Calls,0,1,1,3.25,117.45,2
Calls,0,0,1,77.85,60.1,2
All-In,0,0,0,42.25,0.5,2
Calls,0,0,1,4.75,170.3,2
Bets,0,0,0,4.25,17.9,2
Checks,0,1,0,0.25,23.85,2
Checks,0,0,0,0.25,168.65,2
Folds,0,0,1,5.75,166.35,2
Bets,0,0,0,5.25,20.6,2
Bets,0,1,0,23.25,135.85,2
Checks,0,0,0,23.25,15.25,2
Folds,0,1,1,41.25,15.25,2
Checks,0,1,0,1.25,16.75,2
Checks,0,0,0,1.25,173.85,2
Raises,0,0,1,8.25,22.200000000000003,2
Bets,0,0,0,4.25,152.75,2
Folds,0,0,2,16.25,152.75,2
Calls,0,0,1,4.75,149.5,2
Bets,0,0,0,4.25,35.95,2
Checks,0,1,0,0.25,40.9,2
Checks,0,0,0,0.25,149.25,2
Calls,0,0,1,9.25,33.8,2
Bets,0,0,0,5.25,143.2,2
Calls,0,0,1,9.25,144.45,2
Bets,0,0,0,4.25,30.549999999999997,2
Checks,0,1,0,0.25,29.8,2
Checks,0,0,0,0.25,158.7,2
Bets,0,1,0,21.25,121.55000000000001,2
Checks,0,0,0,21.25,43.37,2
Calls,0,1,1,38.25,26.369999999999997,2
Calls,0,0,1,3.25,78.12,2
Bets,0,0,0,0.25,118.3,2
Bets,0,1,0,0.25,76.87,2
Checks,0,0,0,0.25,124.2,2
Calls,0,1,1,1.25,123.2,2
Calls,0,0,1,111.72,39.68000000000001,2
All-In,0,0,0,62.25,0.5,2
Checks,0,1,0,16.25,156.99,2
Checks,0,0,0,16.25,27.18,2
Calls,0,0,1,9.25,163.49,2
Bets,0,0,0,5.25,87.55,2
Bets,0,1,0,0.25,176.24,2
Checks,0,0,0,0.25,86.8,2
Folds,0,1,1,0.75,86.8,2
Bets,0,1,0,9.25,169.19,2
Checks,0,0,0,9.25,82.3,2
Folds,0,1,1,12.25,82.3,2
Checks,0,1,0,0.25,181.44,2
Checks,0,0,0,0.25,81.55,2
Calls,0,0,1,9.25,76.25,2
Bets,0,0,0,7.25,175.69,2
Bets,0,1,0,3.25,182.14,2
Calls,0,1,2,14.25,175.14,2
Checks,0,0,0,3.25,75.1,2
Raises,0,1,1,5.25,66.1,2
Folds,0,0,1,2.75,46.9,2
Bets,0,0,0,2.25,209.99,2
Bets,0,1,0,0.25,218.84,2
Checks,0,0,0,0.25,74.44,2
Folds,0,1,1,2.25,74.44,2
Raises,0,0,1,24.0,45.69,2
Bets,0,0,0,22.25,208.79,2
Calls,0,0,2,41.0,193.54,2
Checks,0,1,0,6.25,189.79,2
Checks,0,0,0,6.25,98.94,2
Calls,0,0,1,1.25,193.44,2
Bets,0,0,0,0.25,98.79,2
Bets,0,1,0,28.25,153.44,2
Checks,0,0,0,28.25,87.64,2
Folds,0,1,1,53.25,87.64,2
Checks,0,1,0,3.25,203.44,2
Checks,0,0,0,3.25,86.99,2
Folds,0,0,1,56.25,76.44,2
Bets,0,0,0,26.25,160.49,2
Checks,0,0,0,20.25,91.1,2
Folds,0,1,1,107.55,91.1,2
All-In,0,1,0,20.25,0.25,2
Checks,0,0,0,2.25,194.15,2
Checks,0,1,0,2.25,98.75,2
Checks,0,0,0,2.5,63.099999999999994,1
Checks,0,1,0,2.5,58.78,1
Checks,0,0,0,0.25,58.78,2
Checks,0,1,0,0.25,22.15,2
Checks,0,1,0,0.25,58.98,2
Checks,0,0,0,0.25,21.85,2
Checks,0,0,0,0.5,74.97,1
Checks,0,1,0,0.5,14.13,1
Checks,0,0,0,0.25,59.68,2
Checks,0,1,0,0.25,21.1,2
Checks,0,1,0,7.25,40.24,2
Checks,0,0,0,7.25,19.95,2
Checks,0,0,0,1.25,45.59,2
Checks,0,1,0,1.25,20.1,2
Folds,0,0,1,3.25,43.59,2
Bets,0,0,0,1.25,41.84,2
Checks,0,0,0,1.25,46.6,2
Folds,0,1,1,1.75,46.6,2
Bets,0,1,0,1.25,12.75,2
Bets,0,0,0,15.25,33.6,2
Calls,0,0,2,27.1,30.75,2
All-In,0,0,1,19.75,0.25,2
Checks,0,0,0,0.25,49.8,2
Checks,0,1,0,0.25,28.25,2
Bets,0,0,0,1.25,47.8,2
Folds,0,0,1,2.75,27.7,2
Checks,0,0,0,1.25,53.6,2
Raises,0,1,1,1.75,51.6,2
Bets,0,1,0,1.25,22.45,2
Folds,0,1,2,3.75,22.45,2
Bets,0,1,0,13.25,36.7,2
Checks,0,0,0,13.25,19.0,2
Calls,0,1,1,20.25,12.0,2
Checks,0,1,0,4.25,55.7,2
Checks,0,0,0,4.25,35.5,2
Checks,0,0,0,2.25,54.45,2
Calls,0,1,1,2.75,53.95,2
Bets,0,1,0,2.25,38.0,2
Checks,0,1,0,0.25,23.9,2
Checks,0,0,0,0.25,20.6,2
Bets,0,1,0,2.25,19.4,2
Checks,0,0,0,2.25,21.4,2
Calls,0,1,1,3.75,19.9,2
Checks,0,0,0,0.25,47.85,2
Calls,0,1,1,1.25,46.85,2
Bets,0,1,0,0.25,50.1,2
Folds,0,0,1,11.25,23.55,2
Bets,0,0,0,5.25,9.0,2
Bets,0,0,0,1.25,22.3,2
Folds,0,0,1,1.75,19.45,2
Bets,0,1,0,17.25,0.5,2
Checks,0,0,0,17.25,7.449999999999999,2
All-In,0,1,1,35.25,0.4999999999999991,2
Checks,0,0,0,6.25,40.65,2
Checks,0,1,0,6.25,60.25,2
Checks,0,0,0,18.25,10.55,2
Checks,0,1,0,18.25,130.0,2
Bets,0,0,0,10.25,39.25,2
Calls,0,0,1,15.75,37.6,2
Checks,0,0,0,20.25,37.4,2
Checks,0,1,0,20.25,49.0,2
Bets,0,0,0,6.25,152.05,2
Calls,0,0,1,10.25,93.0,2
Raises,0,0,1,9.75,21.65,2
Bets,0,0,0,6.25,62.75,2
Calls,0,0,2,21.75,54.25,2
Checks,0,0,0,12.25,45.15,2
Folds,0,1,1,18.75,45.15,2
Bets,0,1,0,12.25,41.75,2
Checks,0,0,0,2.25,19.0,2
Checks,0,1,0,2.25,156.45,2
Bets,0,1,0,5.25,155.9,2
Checks,0,0,0,5.25,93.15,2
Calls,0,1,1,9.25,89.15,2
Bets,0,0,0,2.25,54.95,2
Folds,0,0,1,3.75,38.7,2
Calls,0,0,1,20.25,30.9,2
Bets,0,0,0,13.25,47.0,2
Bets,0,0,0,12.75,46.3,2
Folds,0,0,1,19.5,51.45,2
Bets,0,0,0,6.25,23.65,2
Folds,0,0,1,10.25,70.75,2
Checks,0,1,0,24.25,159.25,2
Checks,0,0,0,24.25,74.15,2
Bets,0,0,0,8.25,7.600000000000001,2
Folds,0,0,1,17.25,152.55,2
Checks,0,1,0,0.25,34.85,2
Checks,0,0,0,0.25,69.0,2
Checks,0,0,0,20.25,14.350000000000001,2
Checks,0,1,0,20.25,142.3,2
Checks,0,0,0,6.25,61.5,2
Folds,0,1,1,13.25,61.5,2
Bets,0,1,0,6.25,41.6,2
Bets,0,1,0,4.25,27.1,2
Checks,0,0,0,4.25,140.05,2
Calls,0,1,1,9.25,135.05,2
Checks,0,0,0,8.25,37.35,2
Checks,0,1,0,8.25,130.3,2
Checks,0,1,0,19.25,51.25,2
Checks,0,0,0,19.25,45.5,2
Checks,0,1,0,0.25,42.75,2
Checks,0,0,0,0.25,131.85,2
Calls,0,0,1,5.25,37.5,2
Bets,0,0,0,2.25,128.55,2
Checks,0,1,0,5.25,51.35,2
Checks,0,0,0,5.25,58.5,2
Checks,0,0,0,2.25,36.0,2
Checks,0,1,0,2.25,135.3,2
Folds,0,0,1,13.7,155.8,1
Bets,0,0,0,8.5,127.67,1
Bets,0,0,0,17.25,24.450000000000003,2
Folds,0,0,1,35.25,53.95,2
Bets,0,1,0,2.25,26.5,2
Checks,0,0,0,2.25,142.75,2
Folds,0,1,1,3.75,142.75,2
Checks,0,1,0,0.25,31.35,2
Checks,0,0,0,0.25,141.25,2
Bets,0,1,0,0.25,55.15,2
Checks,0,0,0,0.25,56.7,2
Folds,0,1,1,0.75,56.7,2
Checks,0,0,0,8.25,27.05,2
Checks,0,1,0,8.25,137.05,2
Checks,0,0,0,8.25,31.549999999999997,2
Checks,0,1,0,8.25,132.05,2
Folds,0,0,1,11.25,26.55,2
Bets,0,0,0,5.25,133.45,2
Checks,0,0,0,16.25,45.9,2
Folds,0,1,1,30.25,45.9,2
Bets,0,1,0,16.25,35.75,2
Bets,0,1,0,5.25,16.55,2
Checks,0,0,0,5.25,142.6,2
Calls,0,1,1,11.25,136.6,2
Folds,0,0,1,12.25,44.95,2
Bets,0,0,0,6.25,54.0,2
Bets,0,1,0,0.25,15.25,2
Checks,0,0,0,0.25,153.55,2
Calls,0,1,1,0.75,153.05,2
Checks,0,0,0,2.25,15.899999999999999,2
Folds,0,1,1,5.25,15.899999999999999,2
Bets,0,1,0,2.25,148.3,2
Checks,0,0,0,11.25,38.7,2
Calls,0,1,1,19.25,30.700000000000003,2
Bets,0,1,0,11.25,51.95,2
Checks,0,0,0,8.25,26.7,2
Checks,0,1,0,8.25,74.45,2
Folds,0,0,1,17.25,113.79,2
Bets,0,0,0,8.25,26.82,2
Bets,0,1,0,2.25,39.62,2
Checks,0,0,0,2.25,112.54,2
Calls,0,1,1,5.25,109.54,2
Folds,0,0,1,5.25,116.34,2
Bets,0,0,0,2.25,35.37,2
Bets,0,0,0,10.25,13.350000000000001,2
All-In,0,0,2,65.25,0.5000000000000018,2
