action,FOLD,CALL/CHECK,BETS/RAISE,pot,stack,active player
Bets,0,1,0,8.25,21.07,2
Checks,0,0,0,8.25,85.24,2
Folds,0,1,1,17.25,85.24,2
Checks,0,0,0,2.25,75.14,2
Calls,0,1,1,3.75,73.64,2
Bets,0,1,0,2.25,43.47,2
Checks,0,1,0,0.25,39.28,2
Checks,0,0,0,0.25,74.42,2
Checks,0,1,0,8.25,70.14,2
Checks,0,0,0,8.25,43.67,2
Bets,0,1,0,2.25,69.67,2
Checks,0,0,0,2.25,38.98,2
Calls,0,1,1,5.25,35.98,2
Calls,0,0,1,15.25,72.92,2
Bets,0,0,0,10.25,20.23,2
Checks,0,1,0,0.25,19.0,2
Checks,0,0,0,0.25,20.6,2
Checks,0,0,0,0.25,19.5,2
Checks,0,1,0,0.25,20.05,2
Checks,0,0,0,0.25,20.45,2
Checks,0,1,0,0.25,19.05,2
Calls,0,0,1,0.75,19.2,2
Bets,0,0,0,0.25,19.25,2
Bets,0,0,0,0.25,17.95,2
Calls,0,0,1,1.25,19.4,2
Checks,0,0,0,2.25,23.15,2
Folds,0,1,1,3.75,23.15,2
Bets,0,1,0,2.25,12.15,2
Checks,0,1,0,0.25,22.4,2
Checks,0,0,0,0.25,16.25,2
Checks,0,0,0,0.25,23.1,2
Checks,0,1,0,0.25,15.5,2
Checks,0,0,0,1.25,22.55,2
Checks,0,1,0,1.25,14.95,2
Checks,0,1,0,0.25,24.6,2
Checks,0,0,0,0.25,13.7,2
Checks,0,0,0,1.25,23.85,2
Calls,0,1,1,1.75,23.35,2
Bets,0,1,0,1.25,12.9,2
Calls,0,0,1,2.25,21.1,2
Bets,0,0,0,1.25,14.0,2
Checks,0,0,0,0.25,23.2,2
Checks,0,1,0,0.25,14.55,2
Checks,0,1,0,0.25,22.45,2
Checks,0,0,0,0.25,15.25,2
Checks,0,0,0,0.25,22.2,2
Checks,0,1,0,0.25,15.45,2
Checks,0,1,0,0.25,23.1,2
Checks,0,0,0,0.25,14.45,2
Checks,0,0,0,0.25,23.8,2
Folds,0,1,1,0.95,23.8,2
Bets,0,1,0,0.25,58.55,2
Checks,0,1,0,0.25,23.05,2
Checks,0,0,0,0.25,59.95,2
Folds,0,0,1,0.95,23.7,2
Bets,0,0,0,0.25,58.449999999999996,2
Checks,0,0,0,0.25,23.45,2
Checks,0,1,0,0.25,59.35,2
Checks,0,1,0,0.25,23.65,2
Checks,0,0,0,0.25,59.1,2
Bets,0,0,0,0.25,22.4,2
Folds,0,0,1,1.25,59.3,2
Bets,0,1,0,0.25,22.6,2
Folds,0,1,2,4.25,22.6,2
Checks,0,0,0,0.25,59.05,2
Raises,0,1,1,1.25,56.05,2
Checks,0,0,0,0.25,58.3,2
Checks,0,1,0,0.25,63.7,2
Checks,0,0,0,6.25,97.0,2
Raises,0,1,1,10.25,78.0,2
Bets,0,1,0,6.25,88.15,2
Calls,0,1,2,29.25,73.15,2
Checks,0,1,0,2.25,120.75,2
Checks,0,0,0,2.25,71.9,2
Checks,0,1,0,0.25,117.75,2
Checks,0,0,0,0.25,76.5,2
Checks,0,0,0,0.25,117.5,2
Folds,0,1,1,0.95,117.5,2
Bets,0,1,0,0.25,76.0,2
Checks,0,1,0,0.25,116.75,2
Checks,0,0,0,0.25,77.4,2
Bets,0,0,0,0.25,115.97,2
Folds,0,0,1,1.25,77.13,2
Checks,0,1,0,0.25,117.17,2
Checks,0,0,0,0.25,76.88,2
Checks,0,0,0,0.25,115.92,2
Checks,0,1,0,0.25,77.93,2
Checks,0,0,0,6.25,111.62,2
Checks,0,1,0,6.25,76.03,2
Calls,0,0,1,0.95,116.82,2
Bets,0,0,0,0.25,75.08,2
Checks,0,0,0,2.25,117.87,2
Checks,0,1,0,2.25,73.33,2
Checks,0,0,0,0.25,121.77,2
Checks,0,1,0,0.25,71.08,2
Folds,0,0,1,0.95,120.27,2
Bets,0,0,0,0.25,71.78,2
Calls,0,0,1,0.95,119.32,2
Bets,0,0,0,0.25,71.92999999999999,2
Checks,0,0,0,0.25,122.27,2
Checks,0,1,0,0.25,70.18,2
Checks,0,1,0,1.65,120.82,2
Checks,0,0,0,1.65,70.17999999999999,2
Checks,0,0,0,6.25,119.87,2
Folds,0,1,1,10.45,119.87,2
Bets,0,1,0,6.25,62.230000000000004,2
Bets,0,1,0,0.25,118.12,2
Checks,0,0,0,0.25,72.83,2
Folds,0,1,1,1.25,72.83,2
Checks,0,0,0,0.25,119.82,2
Folds,0,1,1,0.95,119.82,2
Bets,0,1,0,0.25,71.38,2
Bets,0,1,0,2.25,115.07,2
Checks,0,0,0,2.25,71.78,2
Calls,0,1,1,5.25,68.78,2
Checks,0,0,0,1.65,114.11999999999999,2
Checks,0,1,0,1.65,75.88,2
Bets,0,1,0,0.25,114.67,2
Checks,0,0,0,0.25,75.63,2
Folds,0,1,1,1.25,75.63,2
Folds,0,0,1,0.95,115.62,2
Bets,0,0,0,0.25,74.92999999999999,2
Checks,0,0,0,6.25,113.37,2
Checks,0,1,0,6.25,71.83,2
Checks,0,0,0,0.25,96.42,2
Calls,0,1,1,0.95,95.72,2
Bets,0,1,0,0.25,93.23,2
Checks,0,0,0,6.25,89.77,2
Calls,0,1,1,10.45,85.57,2
Bets,0,1,0,6.25,89.83,2
Checks,0,0,0,1.25,108.97,2
Calls,0,1,1,2.65,107.57,2
Bets,0,1,0,1.25,77.92999999999999,2
Calls,0,0,1,5.25,97.82,2
Bets,0,0,0,2.75,83.38,2
Checks,0,0,0,6.25,88.07,2
Checks,0,1,0,6.25,94.13,2
Raises,0,0,1,3.65,84.86999999999999,2
Raises,0,0,3,26.85,40.46999999999999,2
Bets,0,0,0,1.65,91.17999999999999,2
Raises,0,0,2,12.05,76.38,2
Calls,0,0,4,71.25,40.379999999999995,2
Bets,0,1,0,2.25,20.0,2
Checks,0,0,0,2.25,19.7,2
Calls,0,1,1,5.25,16.7,2
Raises,0,0,1,17.25,6.300000000000001,2
Bets,0,0,0,8.25,2.9499999999999993,2
All-In,0,0,2,35.25,0.4999999999999991,2
Checks,0,1,0,2.25,62.25,2
Checks,0,0,0,2.25,29.67,2
Checks,0,0,0,3.25,61.2,2
Checks,0,1,0,3.25,29.47,2
Checks,0,0,0,0.25,63.6,2
Checks,0,1,0,0.25,29.72,2
Checks,0,0,0,2.25,67.55,2
Calls,0,1,1,2.75,67.05,2
Bets,0,1,0,2.25,22.62,2
Calls,0,0,1,20.0,236.47,2
Bets,0,0,0,12.75,128.8,2
Checks,0,1,0,8.25,245.22,2
Checks,0,0,0,8.25,138.55,2
Checks,0,0,0,11.25,248.12,2
Checks,0,1,0,11.25,132.05,2
Checks,0,1,0,19.25,249.37,2
Checks,0,0,0,19.25,122.30000000000001,2
Bets,0,0,0,16.25,253.12,2
Calls,0,0,1,23.75,106.05,2
Bets,0,1,0,16.25,281.87,2
Checks,0,0,0,16.25,79.8,2
Folds,0,1,1,28.25,79.8,2
Checks,0,1,0,0.25,20.5,2
Checks,0,0,0,0.25,93.1,2
Checks,0,0,0,2.25,309.12,2
Folds,0,1,1,5.25,309.12,2
Bets,0,1,0,2.25,95.75,2
Bets,0,1,0,20.25,283.37,2
Checks,0,0,0,20.25,91.35,2
Calls,0,1,1,35.25,76.35,2
Folds,0,0,1,4.25,18.95,2
Bets,0,0,0,2.25,90.5,2
Checks,0,1,0,8.25,330.37,2
Checks,0,0,0,8.25,95.25,2
Bets,0,1,0,0.25,18.1,2
Checks,0,0,0,0.25,94.1,2
Calls,0,1,1,1.25,93.1,2
Bets,0,0,0,102.25,181.17000000000002,2
All-In,0,0,1,205.25,0.2499999999999929,2
Checks,0,1,0,8.25,89.78,2
Checks,0,0,0,8.25,15.27,2
Checks,0,1,0,2.25,25.52,2
Checks,0,0,0,2.25,85.03,2
Bets,0,0,0,8.25,423.52,2
Calls,0,0,1,13.25,91.0,2
Checks,0,1,0,2.25,85.98,2
Checks,0,0,0,2.25,24.02,2
Checks,0,1,0,0.25,22.85,2
Checks,0,0,0,0.25,88.7,2
Checks,0,1,0,0.25,21.55,2
Checks,0,0,0,0.25,89.75,2
Bets,0,0,0,1.25,17.25,2
Calls,0,0,1,2.25,74.35,2
Checks,0,1,0,0.25,20.3,2
Checks,0,0,0,0.25,74.1,2
Checks,0,0,0,6.25,17.8,2
Folds,0,1,1,11.25,17.8,2
Bets,0,1,0,6.25,65.55,2
Folds,0,0,1,4.25,16.05,2
Bets,0,0,0,2.25,73.95,2
Bets,0,0,0,2.25,11.8,2
Calls,0,0,1,5.25,74.05,2
Bets,0,0,0,2.25,18.0,2
Calls,0,0,1,5.25,67.25,2
Checks,0,1,0,11.25,20.3,2
Checks,0,0,0,11.25,61.5,2
Calls,0,0,1,1.25,35.55,2
Bets,0,0,0,0.25,54.75,2
Checks,0,1,0,1.25,39.45,2
Checks,0,0,0,1.25,51.5,2
Checks,0,1,0,0.25,39.2,2
Checks,0,0,0,0.25,52.65,2
Checks,0,1,0,2.25,36.15,2
Checks,0,0,0,2.25,53.4,2
Bets,0,1,0,2.25,34.75,2
Checks,0,0,0,2.25,51.65,2
Calls,0,1,1,5.25,48.65,2
Checks,0,0,0,2.25,33.5,2
Checks,0,1,0,2.25,55.45,2
Checks,0,1,0,0.25,36.15,2
Checks,0,0,0,0.25,53.85,2
Bets,0,0,0,2.25,32.37,2
Folds,0,0,1,5.25,52.58,2
Calls,0,0,1,2.25,35.47,2
Bets,0,0,0,0.25,50.33,2
Checks,0,0,0,2.25,34.22,2
Checks,0,1,0,2.25,53.33,2
Checks,0,0,0,6.25,28.47,2
Calls,0,1,1,10.75,23.97,2
Bets,0,1,0,6.25,50.23,2
Bets,0,1,0,0.25,22.72,2
Checks,0,0,0,0.25,65.48,2
Folds,0,1,1,0.75,65.48,2
Bets,0,1,0,8.25,12.170000000000002,2
Checks,0,0,0,8.25,59.48,2
Folds,0,1,1,17.25,59.48,2
Bets,0,1,0,5.25,20.97,2
Checks,0,0,0,5.25,56.23,2
Calls,0,1,1,11.25,50.23,2
Checks,0,1,0,2.25,37.22,2
Checks,0,0,0,2.25,48.48,2
Checks,0,0,0,2.25,36.82,2
Calls,0,1,1,4.25,34.82,2
Bets,0,1,0,2.25,46.58,2
Checks,0,0,0,8.25,26.77,2
Folds,0,1,1,14.25,26.77,2
Bets,0,1,0,8.25,46.08,2
Checks,0,0,0,2.25,25.77,2
Checks,0,1,0,2.25,58.63,2
Raises,0,0,1,1.25,24.27,2
Bets,0,0,0,0.25,58.63,2
Folds,0,0,2,3.25,58.63,2
Checks,0,1,0,0.25,29.12,2
Checks,0,0,0,0.25,56.63,2
Checks,0,0,0,6.25,25.62,2
Calls,0,1,1,10.25,21.62,2
Bets,0,1,0,6.25,49.98,2
Folds,0,0,1,1.25,35.37,2
Bets,0,0,0,0.25,48.73,2
Checks,0,0,0,16.25,27.92,2
Folds,0,1,1,24.25,27.92,2
Bets,0,1,0,16.25,32.93,2
Bets,0,0,0,2.25,23.87,2
Folds,0,0,1,5.25,55.43,2
Folds,0,0,1,1.25,28.97,2
Bets,0,0,0,0.25,54.18,2
Checks,0,0,0,8.25,24.72,2
Checks,0,1,0,8.25,51.38,2
Checks,0,0,0,1.25,16.47,2
Calls,0,1,1,3.25,14.469999999999999,2
Bets,0,1,0,1.25,63.980000000000004,2
Checks,0,1,0,2.25,37.47,2
Checks,0,0,0,2.25,73.48,2
Checks,0,1,0,1.25,36.47,2
Checks,0,0,0,1.25,75.23,2
Checks,0,1,0,0.25,34.47,2
Checks,0,0,0,0.25,78.03,2
Checks,0,1,0,0.25,34.42,2
Checks,0,0,0,0.25,78.03,2
Checks,0,0,0,6.25,32.12,2
Checks,0,1,0,6.25,74.28,2
Checks,0,1,0,0.25,38.02,2
Checks,0,0,0,0.25,74.03,2
Checks,0,0,0,6.25,35.72,2
Calls,0,1,1,10.25,31.72,2
Bets,0,1,0,6.25,66.28,2
Checks,0,0,0,8.25,78.85,2
Checks,0,1,0,8.25,122.03,2
Bets,0,1,0,2.25,128.97,2
Checks,0,0,0,2.25,41.27,2
Folds,0,1,1,4.25,41.27,2
Bets,0,1,0,2.25,63.06999999999999,2
Checks,0,0,0,2.25,91.65,2
Calls,0,1,1,5.25,88.65,2
Raises,0,0,1,7.75,69.85,2
Bets,0,0,0,6.75,124.78,2
Folds,0,0,2,13.75,124.78,2
Checks,0,0,0,0.25,62.82,2
Calls,0,1,1,1.25,61.82,2
Bets,0,1,0,0.25,95.45,2
Folds,0,0,1,9.25,58.07,2
Bets,0,0,0,6.25,92.05,2
Checks,0,0,0,0.25,83.65,2
Folds,0,1,1,1.25,83.65,2
Bets,0,1,0,0.25,123.03,2
Checks,0,1,0,2.25,136.82,2
Checks,0,0,0,2.25,34.77,2
Raises,0,0,1,7.25,72.9,2
Bets,0,0,0,6.25,120.73,2
Calls,0,0,2,14.25,114.73,2
Bets,0,0,0,8.25,45.77,2
Folds,0,0,1,17.25,95.95,2
Checks,0,0,0,2.25,133.82,2
Calls,0,1,1,4.75,131.32,2
Bets,0,1,0,2.25,34.97,2
Checks,0,0,0,0.25,66.52,2
Folds,0,1,1,0.75,66.52,2
Bets,0,1,0,0.25,90.95,2
Bets,0,1,0,5.25,57.269999999999996,2
Checks,0,0,0,5.25,89.65,2
Calls,0,1,1,11.25,83.65,2
Checks,0,1,0,6.25,127.57,2
Checks,0,0,0,6.25,39.32,2
Raises,0,0,1,1.25,72.72,2
Bets,0,0,0,0.25,81.65,2
Calls,0,0,2,3.25,80.65,2
Checks,0,0,0,0.25,67.47,2
Folds,0,1,1,1.25,67.47,2
Bets,0,1,0,0.25,88.4,2
Bets,0,1,0,6.25,126.22,2
Checks,0,0,0,6.25,36.32,2
Calls,0,1,1,10.25,32.32,2
Folds,0,0,1,2.25,67.82,2
Bets,0,0,0,1.25,86.85,2
Checks,0,0,0,23.25,128.97,2
Checks,0,1,0,23.25,20.07,2
Bets,0,0,0,5.25,41.07,2
Calls,0,0,1,11.25,97.85,2
Bets,0,1,0,0.25,39.32,2
Checks,0,0,0,0.25,115.1,2
Folds,0,1,1,1.25,115.1,2
Checks,0,1,0,2.25,43.82,2
Checks,0,0,0,2.25,109.1,2
Checks,0,1,0,6.25,115.72,2
Checks,0,0,0,6.25,49.82,2
Bets,0,0,0,8.25,32.17,2
Folds,0,0,1,17.25,105.45,2
Checks,0,0,0,0.25,49.72,2
Checks,0,1,0,0.25,104.45,2
Checks,0,0,0,4.25,47.75,2
Checks,0,1,0,4.25,23.0,2
Checks,0,0,0,8.25,45.72,2
Folds,0,1,1,12.25,45.72,2
Bets,0,1,0,8.25,96.4,2
Bets,0,1,0,1.25,42.47,2
Checks,0,0,0,1.25,108.2,2
Folds,0,1,1,3.25,108.2,2
Bets,0,1,0,8.25,32.37,2
Checks,0,0,0,8.25,104.2,2
Calls,0,1,1,17.25,95.2,2
Checks,0,0,0,0.25,119.82,2
Checks,0,1,0,0.25,50.67,2
Checks,0,0,0,0.25,49.0,2
Checks,0,1,0,0.25,25.2,2
Checks,0,0,0,29.25,104.57,2
Folds,0,1,1,45.75,104.57,2
Bets,0,1,0,29.25,20.369999999999997,2
Bets,0,1,0,8.25,37.75,2
Checks,0,0,0,8.25,22.3,2
Calls,0,1,1,14.25,16.3,2
Checks,0,0,0,2.25,55.3,2
Checks,0,1,0,2.25,35.75,2
Bets,0,1,0,11.25,45.9,2
Checks,0,0,0,11.25,30.0,2
Folds,0,1,1,17.25,30.0,2
Bets,0,0,0,2.25,58.25,2
Folds,0,0,1,5.25,28.85,2
Folds,0,0,1,21.25,56.35,2
Bets,0,0,0,14.25,14.600000000000001,2
Checks,0,0,0,4.25,54.1,2
Checks,0,1,0,4.25,33.35,2
Bets,0,1,0,2.25,45.35,2
Checks,0,0,0,2.25,41.6,2
Folds,0,1,1,4.25,41.6,2
Checks,0,0,0,0.25,49.95,2
Checks,0,1,0,0.25,40.85,2
Calls,0,0,1,5.25,45.2,2
Bets,0,0,0,2.25,37.55,2
Checks,0,0,0,0.25,39.45,2
Checks,0,1,0,0.25,50.8,2
Checks,0,1,0,2.25,65.0,2
Checks,0,0,0,2.25,42.45,2
Checks,0,0,0,2.25,66.6,2
Checks,0,1,0,2.25,40.7,2
Checks,0,0,0,8.25,96.0,2
Calls,0,1,1,14.25,90.0,2
Bets,0,1,0,8.25,98.65,2
Checks,0,1,0,10.25,85.0,2
Checks,0,0,0,10.25,113.15,2
Checks,0,1,0,2.25,83.75,2
Checks,0,0,0,2.25,121.9,2
Bets,0,0,0,2.25,81.5,2
Folds,0,0,1,3.25,123.0,2
Checks,0,1,0,8.25,80.6,2
Checks,0,0,0,8.25,118.75,2
Checks,0,0,0,2.25,80.1,2
Checks,0,1,0,2.25,124.8,2
Checks,0,1,0,22.25,68.35,2
Checks,0,0,0,22.25,116.4,2
Checks,0,0,0,8.25,86.35,2
Calls,0,1,1,14.25,80.35,2
Bets,0,1,0,8.25,105.75,2
Bets,0,1,0,5.25,55.85,2
