action,FOLD,CALL/CHECK,BETS/RAISE,pot,stack,active player
Bets,0,1,0,3.75,42.33,2
Folds,0,1,2,13.75,42.33,2
Checks,0,0,0,3.75,145.25,2
Raises,0,1,1,5.75,137.25,2
Checks,0,0,0,0.5,13.1,2
Checks,0,1,0,0.5,46.77,2
Checks,0,1,0,8.25,88.9,2
Checks,0,0,0,8.25,113.45,2
Bets,0,0,0,0.5,45.0,2
Calls,0,0,1,1.0,18.3,2
Checks,0,0,0,0.25,51.85,2
Checks,0,1,0,0.25,27.53,2
Bets,0,1,0,1.75,46.45,2
Checks,0,0,0,1.75,18.2,2
Folds,0,1,1,3.5,18.2,2
Checks,0,0,0,0.5,50.6,2
Checks,0,1,0,0.5,17.45,2
Checks,0,1,0,0.25,102.7,2
Checks,0,0,0,0.25,16.7,2
Checks,0,0,0,7.0,10.2,2
Checks,0,1,0,7.0,69.85,2
Bets,0,0,0,18.0,11.8,1
Folds,0,0,1,23.0,135.8,1
Checks,0,0,0,1.75,6.45,2
All-In,0,1,1,2.25,0.25,2
Bets,0,1,0,1.75,16.75,2
Calls,0,1,2,8.45,11.05,2
Raises,0,0,1,3.75,40.95,2
Bets,0,0,0,1.5,14.05,2
Calls,0,0,2,8.25,11.8,2
Bets,0,1,0,0.5,17.9,2
Checks,0,0,0,0.5,9.45,2
Folds,0,1,1,1.0,9.45,2
Bets,0,1,0,0.25,19.1,2
Checks,0,0,0,0.25,8.7,2
Calls,0,1,1,0.75,8.2,2
Checks,0,0,0,0.25,93.05,2
Checks,0,1,0,0.25,100.0,2
Calls,0,0,1,1.0,6.95,2
Bets,0,0,0,0.5,100.8,2
Bets,0,1,0,1.5,18.75,2
Checks,0,0,0,1.5,4.2,2
Calls,0,1,1,2.0,3.7,2
Bets,0,0,0,3.3,16.400000000000002,2
Folds,0,0,1,7.35,102.35,2
Folds,0,0,1,1.0,29.7,1
Bets,0,0,0,0.5,56.27,1
Checks,0,1,0,0.25,142.31,2
Checks,0,0,0,0.25,18.75,2
Bets,0,0,0,0.25,48.13,2
Calls,0,0,1,0.75,19.5,2
Checks,0,1,0,1.75,48.78,2
Checks,0,0,0,1.75,18.25,2
Bets,0,1,0,0.25,50.63,2
Checks,0,0,0,0.25,142.6,2
Folds,0,1,1,1.25,142.6,2
Bets,0,0,0,5.25,47.78,3
Folds,1,0,1,11.25,138.35,2
Folds,0,0,1,11.25,14.25,3
Bets,0,1,0,2.75,54.23,2
Folds,0,1,2,18.5,54.23,2
Checks,0,0,0,2.75,12.5,2
All-In,0,1,1,6.25,0.25,2
Checks,0,1,0,1.25,53.73,2
Checks,0,0,0,1.25,137.1,2
Checks,0,0,0,0.75,50.98,3
Checks,0,2,0,0.75,140.05,3
Checks,0,1,0,0.75,18.75,3
