action,FOLD,CALL/CHECK,BETS/RAISE,pot,stack,active player
Checks,0,0,0,0.25,9.52,2
Checks,0,1,0,0.25,16.88,2
Checks,0,2,0,0.75,8.77,3
Checks,0,1,0,0.75,55.83,3
Checks,0,0,0,0.75,17.08,3
Calls,0,0,1,1.25,9.22,2
Bets,0,0,0,0.25,54.08,2
Checks,0,0,0,0.25,5.47,2
Checks,0,1,0,0.25,16.83,2
Bets,0,0,0,4.5,66.25,1
Folds,0,0,1,9.5,79.2,1
Calls,0,0,1,9.25,94.75,2
Bets,0,0,0,6.0,121.6,2
Folds,0,1,1,12.5,107.26,2
Calls,0,1,1,1.5,120.68,2
Bets,0,1,0,1.0,39.2,2
Checks,0,0,0,1.0,48.74,2
Calls,0,2,1,2.0,48.24,2
Checks,0,0,0,0.5,52.3,2
Checks,0,1,0,0.5,29.7,2
Bets,0,1,0,3.0,96.81,1
Checks,0,0,0,3.0,30.44,1
Folds,0,1,1,5.25,30.44,1
Checks,0,1,0,0.5,50.7,2
Checks,0,0,0,0.5,95.8,2
Checks,0,0,0,0.25,39.65,2
Checks,0,1,0,0.25,94.45,2
Checks,0,0,0,0.25,50.7,2
Checks,0,1,0,0.25,23.73,2
Checks,0,1,0,3.25,48.7,2
Checks,0,0,0,3.25,22.68,2
Checks,0,1,0,1.25,19.5,2
Checks,0,0,0,1.25,19.25,2
Bets,0,0,0,2.75,17.25,2
Folds,0,0,2,4.25,17.25,2
Raises,0,0,1,3.25,18.4,2
Checks,0,1,0,4.5,14.5,2
Checks,0,0,0,4.5,21.2,2
Folds,0,1,1,1.25,18.75,3
Bets,0,1,0,0.75,12.0,3
Checks,0,0,0,0.75,27.25,3
Calls,1,1,1,1.25,26.75,2
Calls,0,0,1,2.25,17.25,3
Bets,0,0,0,0.75,13.05,3
Folds,0,1,1,3.75,25.0,3
Folds,0,1,1,4.25,19.8,3
Calls,0,0,1,3.25,12.05,3
Bets,0,0,0,2.25,22.75,3
Checks,0,0,0,4.75,14.05,2
Folds,0,1,1,7.75,14.05,2
Bets,0,1,0,4.75,17.0,2
Checks,0,0,0,0.25,52.07,2
Checks,0,1,0,0.25,69.55,2
Checks,0,0,0,0.5,27.9,1
Folds,0,1,1,1.0,27.9,1
Bets,0,1,0,0.5,77.99,1
Checks,0,0,0,0.25,19.75,2
Checks,0,1,0,0.25,50.06,2
Calls,0,0,2,8.5,29.25,2
Bets,0,0,0,4.0,17.0,2
Calls,0,1,2,11.5,15.5,2
Raises,0,0,1,5.5,12.29,2
Bets,0,1,0,5.75,32.6,2
Checks,0,0,0,5.75,43.32,2
Folds,0,1,1,12.25,43.32,2
Bets,0,1,0,0.25,36.6,2
Checks,0,0,0,0.25,62.25,2
Calls,0,1,1,1.25,61.25,2
Folds,0,0,1,0.75,55.0,2
Bets,0,0,0,0.25,34.95,2
Checks,0,0,0,0.5,36.35,2
Folds,0,1,1,1.0,36.35,2
Bets,0,1,0,0.5,35.15,2
Folds,0,0,1,0.75,54.25,2
Bets,0,0,0,0.25,35.6,2
Checks,0,0,0,0.5,36.35,2
Checks,0,1,0,0.5,36.3,2
Bets,0,0,0,2.25,32.6,2
Folds,0,0,1,4.25,36.5,2
Folds,0,0,1,1.25,52.75,2
Bets,0,0,0,0.25,15.5,2
Checks,0,0,0,0.5,82.4,2
Checks,0,1,0,0.5,16.7,2
Bets,0,0,0,2.25,78.65,2
Calls,0,0,1,4.25,14.899999999999999,2
Calls,0,0,1,2.0,11.2,2
Bets,0,0,0,1.5,37.5,2
Calls,0,0,1,5.25,12.35,2
Bets,0,0,0,3.75,18.97,2
Checks,0,1,0,0.25,25.87,2
Checks,0,0,0,0.25,11.6,2
Checks,0,2,0,2.25,11.3,3
Checks,0,0,0,2.25,24.62,3
Checks,0,1,0,2.25,35.25,3
Calls,0,0,1,1.25,13.17,2
Bets,0,0,0,0.25,46.26,2
Raises,0,0,1,1.25,49.6,2
Bets,0,0,0,0.25,13.13,2
Folds,0,0,2,3.75,13.13,2
Checks,0,1,0,0.75,52.75,3
Folds,0,3,1,2.25,52.75,3
Bets,0,2,0,0.75,41.35,3
Checks,0,0,0,0.75,9.53,3
Calls,0,2,1,1.5,8.78,3
Checks,0,0,0,5.25,50.5,3
Calls,0,2,1,11.25,44.5,3
Checks,0,1,0,5.25,42.7,3
Folds,0,3,1,17.25,42.7,3
Bets,0,2,0,5.25,0.5299999999999994,3
Bets,0,1,0,0.5,42.44,1
Checks,0,0,0,0.5,30.18,1
Folds,0,1,1,1.0,30.18,1
Bets,0,0,0,0.25,28.93,2
Calls,0,0,2,1.75,28.43,2
Raises,0,0,1,0.75,23.65,2
Checks,0,0,0,3.0,50.95,1
Folds,0,1,1,4.5,50.95,1
Bets,0,1,0,3.0,16.4,1
Bets,0,0,0,0.75,63.790000000000006,3
Calls,1,0,2,12.45,60.09,2
All-In,1,0,1,4.75,-8.881784197001252e-16,2
Folds,0,0,1,4.75,14.2,3
Bets,0,2,0,0.75,74.44,3
Checks,0,1,0,0.75,25.0,3
Folds,0,3,1,2.75,25.0,3
Checks,0,0,0,0.75,13.45,3
