action,FOLD,CALL/CHECK,BETS/RAISE,pot,stack,active player
Calls,1,0,0,0,9.52,2
Folds,0,0,0,0,55.83,3
Checks,1,1,0,0.25,16.88,2
Calls,0,0,0,0,8.77,3
Checks,0,2,0,0.75,55.83,3
Calls,0,1,0,0.5,17.08,3
Checks,1,1,0,0.25,10.22,2
Calls,1,0,0,0,55.08,2
Folds,0,0,0,0,16.83,3
Calls,1,0,0,0,5.47,2
Folds,0,0,0,0,59.38,3
Checks,1,1,0,0.25,16.83,2
Folds,1,0,1,1.5,54.3,2
Folds,0,0,0,0,45.55,3
Raises,1,0,0,0,56.4,2
Folds,2,0,1,1.5,55.35,1
Raises,2,1,0,0.5,71.25,1
Folds,1,1,0,0.5,125.65,2
Calls,0,0,0,0,81.2,3
Calls,2,1,1,2.5,79.2,1
Folds,0,1,0,0.5,33.56,3
Raises,0,1,0,0.5,98.0,3
Calls,0,0,0,0,126.35,3
Calls,1,2,1,4.5,124.85,2
Calls,0,1,1,2.5,107.26,3
Folds,0,2,1,4.5,81.67,3
Raises,1,0,0,0,65.05,2
Folds,1,0,2,5.25,65.05,2
Folds,0,0,0,0,28.7,3
Raises,1,0,1,1.25,73.53,2
Folds,0,0,0,0,64.8,3
Folds,1,0,0,0,79.03,2
Calls,1,1,0,0.5,121.18,2
Folds,0,1,0,0.5,100.5,3
Checks,1,2,0,1.0,48.74,2
Calls,0,0,0,0,39.7,3
Folds,1,0,0,0,142.93,2
Folds,0,0,0,0,100.5,3
Folds,2,0,0,0,45.74,1
Checks,1,1,0,0.5,52.3,2
Calls,0,0,0,0,29.7,3
Folds,0,1,0,0.5,97.67,3
Folds,0,0,0,0,43.21,3
Folds,1,0,0,0,74.53,2
Folds,1,0,1,1.5,63.18,2
Raises,0,0,0,0,51.35,3
Folds,0,0,1,1.5,101.95,3
Folds,2,0,1,1.5,52.55,1
Folds,1,1,1,2.0,42.65,2
Raises,1,1,0,0.5,99.06,2
Calls,0,0,0,0,31.44,3
Calls,2,1,1,2.0,30.44,1
Folds,0,1,0,0.5,88.99,3
Raises,2,1,0,0.5,58.79,1
Folds,0,1,0,0.5,48.3,3
Folds,1,1,0,0.5,47.4,2
Calls,0,0,0,0,27.38,3
Folds,2,1,1,2.5,27.38,1
Folds,1,0,0,0,51.45,2
Folds,0,0,0,0,95.8,3
Calls,0,0,0,0,50.7,3
Folds,0,1,0,0.5,23.98,3
Checks,1,1,0,0.5,95.8,2
Folds,1,0,1,1.75,51.55,2
Raises,0,0,0,0,89.45,3
Folds,0,0,1,1.75,71.35,3
Folds,1,0,0,0,100.5,2
Folds,0,0,0,0,94.45,3
Calls,1,0,0,0,39.65,2
Folds,0,0,0,0,100.25,3
Checks,1,1,0,0.25,94.45,2
Folds,0,0,0,0,23.73,3
Folds,1,0,0,0,96.5,2
Calls,1,0,0,0,50.7,2
Checks,1,1,0,0.25,23.73,2
Folds,0,0,0,0,96.25,3
Calls,0,0,0,0,39.85,3
Folds,1,1,1,2.5,39.85,2
Raises,1,1,0,0.5,98.25,2
Folds,0,1,0,0.5,93.95,3
Raises,0,0,0,0,48.7,3
Calls,0,0,1,1.75,22.68,3
Folds,0,1,1,3.25,96.25,3
Folds,0,0,0,0,20.0,3
Raises,1,1,0,0.25,19.5,2
Calls,1,0,0,0,19.75,2
Calls,1,1,1,0.75,19.25,2
Folds,0,1,1,1.75,20.0,3
Raises,0,1,0,0.5,17.75,3
Calls,0,0,0,0,20.4,3
Calls,1,1,1,1.75,19.4,2
Folds,0,0,1,1.0,19.5,3
Raises,0,0,0,0,16.0,3
Calls,1,0,2,3.0,14.5,2
Raises,1,0,1,1.0,21.2,2
Calls,0,0,0,0,18.75,3
Checks,0,2,0,0.75,12.5,3
Calls,0,1,0,0.5,27.25,3
Checks,0,2,0,0.75,18.75,3
Calls,0,1,0,0.5,14.55,3
Calls,0,0,0,0,25.0,3
Folds,0,0,1,12.8,21.05,3
All-In,0,0,0,0,0.0,3
Folds,1,0,1,12.8,25.0,2
Calls,0,0,0,0,20.3,3
Calls,0,2,1,1.25,19.8,3
Raises,0,2,0,0.75,13.05,3
Calls,0,1,0,0.5,24.25,3
Calls,0,3,1,1.75,23.75,3
Folds,0,1,1,1.25,19.8,3
Raises,0,1,0,0.5,15.55,3
Calls,1,1,2,3.25,14.05,2
