action,FOLD,CALL/CHECK,BETS/RAISE,pot,stack,active player
Checks,0,0,0,0.25,9.52,2
Checks,0,1,0,0.25,16.88,2
Checks,0,1,0,8.25,6.220000000000001,2
Checks,0,0,0,8.25,51.08,2
All-In,0,0,0,1.25,0.25,2
Calls,0,0,1,5.97,11.61,2
Checks,0,1,0,0.5,50.7,2
Checks,0,0,0,0.5,95.8,2
Checks,0,0,0,0.25,39.65,2
Checks,0,1,0,0.25,94.45,2
Checks,0,0,0,0.25,50.7,2
Folds,0,1,1,1.25,50.7,2
Bets,0,1,0,0.25,22.73,2
Checks,0,1,0,3.25,48.7,2
Checks,0,0,0,3.25,22.68,2
Bets,0,1,0,4.5,14.0,2
Calls,0,1,2,7.0,12.5,2
Checks,0,0,0,4.5,21.2,2
Raises,0,1,1,5.0,19.2,2
Calls,0,0,1,3.25,11.0,2
Bets,0,0,0,2.75,25.75,2
Bets,0,1,0,3.75,15.0,2
Checks,0,0,0,3.75,13.05,2
Folds,0,1,1,6.0,13.05,2
Bets,0,0,0,0.25,51.07,2
Folds,0,0,1,1.25,69.55,2
Bets,0,0,0,1.25,18.75,2
Calls,0,0,2,3.75,17.25,2
Raises,0,0,1,1.75,47.56,2
Checks,0,1,0,5.25,35.1,2
Checks,0,0,0,5.25,59.75,2
Bets,0,1,0,3.5,6.449999999999999,2
Checks,0,0,0,3.5,37.0,2
Folds,0,1,1,7.75,37.0,2
Folds,0,0,1,0.75,25.87,2
Bets,0,0,0,0.25,11.1,2
Checks,0,2,0,2.25,11.3,3
Checks,0,0,0,2.25,24.62,3
Checks,0,1,0,2.25,35.25,3
All-In,0,0,1,17.25,0.5,2
Bets,0,0,0,8.25,34.26,2
Calls,0,0,2,26.92,33.589999999999996,2
Checks,0,1,0,2.25,41.35,2
Checks,0,0,0,2.25,8.78,2
Bets,0,0,0,3.25,24.43,2
Calls,0,0,1,6.75,19.65,2
Checks,0,1,0,0.5,7.09,1
Checks,0,0,0,0.5,47.25,1
Checks,0,1,0,0.75,48.67,3
Checks,0,2,0,0.75,13.0,3
Checks,0,0,0,0.75,34.97,3
Calls,0,0,1,27.5,35.25,1
Bets,0,0,0,22.0,17.28,1
Checks,0,0,0,1.75,119.24,2
Checks,0,1,0,1.75,15.170000000000002,2
Checks,0,0,0,12.75,116.94,2
Checks,0,1,0,12.75,26.869999999999997,2
Folds,0,0,1,1.25,127.94,2
Bets,0,0,0,0.25,45.92,2
Checks,0,0,0,12.75,120.67,2
Checks,0,1,0,12.75,14.05,2
Checks,0,1,0,26.25,104.42,2
Checks,0,0,0,26.25,32.39,2
Checks,0,1,0,2.25,102.67,2
Checks,0,0,0,2.25,55.24,2
Checks,0,1,0,0.25,30.33,2
Checks,0,0,0,0.25,19.25,2
All-In,0,0,0,8.25,0.25,2
Calls,0,0,1,16.75,22.82,2
Folds,1,0,1,2.0,128.89,1
Bets,0,0,0,0.5,99.68,2
Folds,0,0,1,2.0,20.0,2
Checks,0,0,0,17.25,94.3,2
Checks,0,1,0,17.25,147.5,2
Checks,0,0,0,0.5,13.1,2
Folds,0,1,1,1.0,13.1,2
Bets,0,1,0,0.5,46.27,2
Checks,0,1,0,8.25,88.9,2
Checks,0,0,0,8.25,113.45,2
Bets,0,0,0,1.5,44.5,2
Folds,0,0,1,2.0,18.3,2
Checks,0,0,0,0.25,51.85,2
Checks,0,1,0,0.25,27.53,2
Bets,0,0,0,0.5,49.35,2
Folds,0,0,1,1.75,17.45,2
Checks,0,1,0,0.25,102.7,2
Checks,0,0,0,0.25,16.7,2
Bets,0,0,0,7.0,7.699999999999999,2
Calls,0,0,1,9.5,67.35,2
Bets,0,1,0,10.5,37.95,2
Checks,0,0,0,10.5,11.8,2
Folds,0,1,1,13.5,11.8,2
Bets,0,1,0,1.25,17.1,2
Checks,0,0,0,1.25,8.2,2
Folds,0,1,1,3.25,8.2,2
Bets,0,0,0,0.25,92.05,2
Folds,0,0,1,1.25,100.0,2
Calls,0,0,1,3.75,4.7,2
Bets,0,0,0,1.5,98.55,2
Folds,0,0,0,2.5,3.7,2
Bets,0,1,0,0.25,141.81,2
Checks,0,0,0,0.25,18.75,2
Folds,0,1,1,0.75,18.75,2
Bets,0,0,0,1.25,44.13,2
Folds,0,0,1,5.25,19.5,2
Raises,0,0,1,2.25,44.78,2
Bets,0,0,0,1.75,17.75,2
Folds,0,0,2,6.25,17.75,2
Calls,0,0,1,3.25,51.73,2
Bets,0,0,0,1.25,135.1,2
Bets,0,0,0,0.75,49.48,3
Folds,1,0,1,2.25,140.05,2
Folds,0,0,1,2.25,18.75,3
Calls,0,0,1,24.5,122.80000000000001,2
Bets,0,0,0,14.25,0.75,2
Bets,0,0,0,5.25,43.68,2
Folds,0,0,1,11.25,31.75,2
Checks,0,1,0,0.25,51.85,2
Checks,0,0,0,0.25,15.1,2
Bets,0,0,0,3.75,51.23,2
Folds,0,0,2,17.25,51.23,2
Raises,0,0,1,8.25,19.75,2
Bets,0,0,0,35.25,5.530000000000001,2
All-In,0,0,1,71.25,-1.7763568394002505e-15,2
Calls,0,0,1,5.0,26.47,2
