action,FOLD,CALL/CHECK,BETS/RAISE,pot,stack,active player
Folds,0,1,1,0.95,120.02,2
Bets,0,1,0,0.25,71.98,2
Checks,0,1,0,0.25,120.02,2
Checks,0,0,0,0.25,72.63,2
Checks,0,0,0,0.25,122.27,2
Checks,0,1,0,0.25,70.18,2
Calls,0,0,1,0.95,120.82,2
Bets,0,0,0,0.25,70.17999999999999,2
Checks,0,0,0,2.25,121.87,2
Calls,0,1,1,4.25,119.87,2
Bets,0,1,0,2.25,66.43,2
Checks,0,1,0,0.25,119.12,2
Checks,0,0,0,0.25,72.83,2
Checks,0,0,0,0.25,119.82,2
Checks,0,1,0,0.25,72.08,2
Bets,0,1,0,0.25,118.07,2
Checks,0,0,0,0.25,72.78,2
Calls,0,1,1,1.25,71.78,2
Checks,0,0,0,0.25,114.82,2
Calls,0,1,1,0.95,114.11999999999999,2
Bets,0,1,0,0.25,75.88,2
Checks,0,1,0,0.25,115.67,2
Checks,0,0,0,0.25,75.63,2
Checks,0,1,0,0.25,115.62,2
Checks,0,0,0,0.25,75.63,2
Checks,0,0,0,2.25,115.37,2
Calls,0,1,1,4.25,113.37,2
Bets,0,1,0,2.25,71.83,2
Bets,0,1,0,0.25,92.02,2
Raises,0,1,2,4.25,83.02,2
Checks,0,0,0,0.25,97.68,2
Raises,0,1,1,1.25,94.68,2
Folds,0,1,3,13.25,94.68,2
Checks,0,0,0,0.25,96.42,2
Checks,0,1,0,0.25,93.93,2
Folds,0,0,1,15.95,93.02,2
Bets,0,0,0,8.75,81.53,2
Checks,0,0,0,2.25,91.77,2
Calls,0,1,1,4.25,89.77,2
Bets,0,1,0,2.25,94.03,2
Checks,0,0,0,1.25,108.97,2
Checks,0,1,0,1.25,79.33,2
Folds,0,0,1,0.95,103.82,2
Bets,0,0,0,0.25,84.28,2
Checks,0,0,0,0.25,102.32,2
Folds,0,1,1,0.95,102.32,2
Bets,0,1,0,0.25,85.73,2
Checks,0,1,0,2.75,100.32,2
Checks,0,0,0,2.75,85.88,2
Checks,0,0,0,2.25,90.07,2
Calls,0,1,1,4.25,88.07,2
Bets,0,1,0,2.25,94.13,2
Calls,0,0,1,0.95,93.27,2
Bets,0,0,0,0.25,93.17999999999999,2
Checks,0,0,0,0.25,24.75,2
Folds,0,1,1,0.75,24.75,2
Bets,0,1,0,0.25,19.5,2
Bets,0,1,0,0.25,23.0,2
Checks,0,0,0,0.25,20.7,2
Calls,0,1,1,1.25,19.7,2
Bets,0,1,0,2.25,24.3,2
Checks,0,0,0,2.25,14.95,2
Calls,0,1,1,5.25,11.95,2
Checks,0,0,0,2.25,43.25,2
Raises,0,1,1,5.25,31.25,2
Calls,0,1,3,32.5,25.0,2
Bets,0,1,0,2.25,15.5,2
All-In,0,1,2,17.25,0.25,2
Bets,0,1,0,0.25,62.25,2
Checks,0,0,0,0.25,30.67,2
Calls,0,1,1,1.25,29.67,2
Bets,0,1,0,0.25,61.0,2
Checks,0,0,0,0.25,31.77,2
Folds,0,1,1,1.25,31.77,2
Checks,0,0,0,0.25,62.7,2
Folds,0,1,1,1.25,62.7,2
Bets,0,1,0,0.25,30.02,2
Checks,0,0,0,1.25,62.2,2
Calls,0,1,1,2.25,61.2,2
Bets,0,1,0,1.25,29.47,2
Checks,0,0,0,0.25,61.95,2
Folds,0,1,1,0.75,61.95,2
Bets,0,1,0,0.25,31.02,2
Bets,0,1,0,0.25,60.2,2
Checks,0,0,0,0.25,32.22,2
Folds,0,1,1,1.25,32.22,2
Bets,0,1,0,0.25,61.15,2
Checks,0,0,0,0.25,31.22,2
Folds,0,1,1,1.25,31.22,2
Checks,0,0,0,0.25,63.6,2
Checks,0,1,0,0.25,29.72,2
Bets,0,1,0,0.25,62.8,2
Checks,0,0,0,0.25,29.47,2
Folds,0,1,1,1.25,29.47,2
Bets,0,0,0,5.25,57.0,2
Folds,0,0,1,10.25,26.22,2
Bets,0,1,0,0.25,66.45,2
Folds,0,1,2,1.75,66.45,2
Checks,0,0,0,0.25,25.97,2
Raises,0,1,1,0.75,24.97,2
Bets,0,1,0,2.25,62.2,2
Checks,0,0,0,2.25,25.62,2
Folds,0,1,1,5.25,25.62,2
Checks,0,0,0,2.25,67.55,2
Checks,0,1,0,2.25,23.12,2
Bets,0,1,0,2.25,246.47,2
Calls,0,1,2,10.0,243.72,2
Checks,0,0,0,2.25,141.3,2
Raises,0,1,1,4.75,136.05,2
Bets,0,1,0,2.25,245.22,2
Checks,0,0,0,2.25,141.55,2
Calls,0,1,1,5.25,138.55,2
Bets,0,1,0,2.25,248.52,2
Checks,0,0,0,2.25,138.3,2
Folds,0,1,1,4.75,138.3,2
Checks,0,0,0,11.25,248.12,2
Checks,0,1,0,11.25,132.05,2
Bets,0,1,0,2.25,254.87,2
Calls,0,1,2,13.75,249.37,2
Checks,0,0,0,2.25,130.8,2
Raises,0,1,1,5.25,122.30000000000001,2
Checks,0,0,0,2.25,267.62,2
Raises,0,1,1,4.25,260.62,2
Bets,0,1,0,2.25,118.55,2
Calls,0,1,2,11.25,113.55,2
Bets,0,1,0,8.25,293.87,2
Checks,0,0,0,8.25,83.8,2
Calls,0,1,1,12.25,79.8,2
Checks,0,1,0,0.25,20.5,2
Checks,0,0,0,0.25,93.1,2
Checks,0,0,0,2.25,309.12,2
Checks,0,1,0,2.25,98.75,2
Raises,0,0,1,0.75,90.85,2
Bets,0,0,0,0.25,20.7,2
Folds,0,0,2,2.25,20.7,2
Bets,0,1,0,8.25,298.37,2
Checks,0,0,0,8.25,97.35,2
Calls,0,1,1,14.25,91.35,2
Checks,0,1,0,2.25,18.95,2
Checks,0,0,0,2.25,92.5,2
Calls,0,0,1,5.25,330.37,2
Bets,0,0,0,2.25,95.25,2
Bets,0,1,0,1.25,16.45,2
Checks,0,0,0,1.25,94.85,2
Folds,0,1,1,2.25,94.85,2
Folds,0,0,1,5.25,335.42,2
Bets,0,0,0,2.25,92.75,2
Checks,0,1,0,0.25,19.1,2
Checks,0,0,0,0.25,94.1,2
Bets,0,0,0,35.25,307.67,2
Calls,0,0,2,78.75,284.17,2
Raises,0,0,1,45.25,46.849999999999994,2
Bets,0,1,0,2.25,89.78,2
Checks,0,0,0,2.25,18.27,2
Calls,0,1,1,5.25,15.27,2
Checks,0,1,0,2.25,25.52,2
Checks,0,0,0,2.25,85.03,2
Bets,0,1,0,2.25,80.78,2
Checks,0,0,0,2.25,27.57,2
Folds,0,1,1,4.25,27.57,2
