action,FOLD,CALL/CHECK,BETS/RAISE,pot,stack,active player
Raises,0,0,0,0,114.17,2
Folds,0,0,1,1.25,78.68,2
Folds,0,0,0,0,78.18,2
Folds,0,0,0,0,116.17,2
Checks,0,1,0,0.25,115.92,2
Calls,0,0,0,0,77.93,2
Calls,0,0,0,0,116.12,2
Calls,0,1,1,1.5,114.87,2
Raises,0,1,0,0.25,76.43,2
Calls,0,0,1,1.25,113.62,2
Raises,0,0,0,0,78.03,2
Calls,0,0,0,0,117.52,2
Checks,0,1,0,0.25,75.78,2
Raises,0,1,0,0.25,117.87,2
Calls,0,0,0,0,74.33,2
Calls,0,1,1,1.25,73.33,2
Folds,0,0,0,0,122.02,2
Checks,0,1,0,0.25,121.77,2
Calls,0,0,0,0,71.08,2
Raises,0,0,0,0,120.02,2
Folds,0,0,1,1.25,71.78,2
Folds,0,0,1,1.25,121.77,2
Raises,0,0,0,0,70.03,2
Folds,0,0,0,0,121.27,2
Checks,0,1,0,0.25,121.02,2
Calls,0,0,0,0,71.78,2
Calls,0,0,0,0,120.27,2
Checks,0,1,0,0.25,72.48,2
Checks,0,1,0,0.25,120.02,2
Calls,0,0,0,0,72.68,2
Raises,0,0,0,0,118.27,2
Folds,0,0,1,1.25,73.38,2
Folds,0,0,0,0,72.88,2
Calls,0,0,0,0,120.02,2
Checks,0,1,0,0.25,72.63,2
Checks,0,1,0,0.25,122.27,2
Calls,0,0,0,0,70.18,2
Calls,0,0,0,0,121.52,2
Checks,0,1,0,0.25,70.88,2
Calls,0,0,1,1.25,121.87,2
Raises,0,0,0,0,68.43,2
Calls,0,0,0,0,119.12,2
Checks,0,1,0,0.25,72.83,2
Checks,0,1,0,0.25,119.82,2
Calls,0,0,0,0,72.08,2
Calls,0,0,0,0,119.07,2
Checks,0,1,0,0.25,72.78,2
Checks,0,1,0,0.25,114.82,2
Calls,0,0,0,0,76.58,2
Calls,0,0,0,0,115.67,2
Checks,0,1,0,0.25,75.63,2
Folds,0,0,1,1.25,116.37,2
Raises,0,0,0,0,73.88,2
Calls,0,0,0,0,115.62,2
Checks,0,1,0,0.25,75.63,2
Raises,0,1,0,0.25,114.37,2
Calls,0,0,0,0,75.83,2
Folds,0,1,1,1.25,75.83,2
Raises,0,0,0,0,114.62,2
Folds,0,0,1,1.25,75.58,2
Calls,0,0,1,1.25,115.37,2
Raises,0,0,0,0,73.83,2
Calls,0,0,0,0,93.02,2
Checks,0,1,0,0.25,97.68,2
Checks,0,1,0,0.25,96.42,2
Calls,0,0,0,0,93.93,2
Raises,0,0,0,0,96.27,2
Calls,0,0,2,5.5,93.02,2
Raises,0,0,1,1.25,88.73,2
Raises,0,1,0,0.25,91.77,2
Calls,0,0,0,0,97.03,2
Calls,0,1,1,1.25,96.03,2
Raises,0,0,0,0,107.72,2
Folds,0,0,1,1.25,80.58,2
Raises,0,1,0,0.25,108.97,2
Calls,0,0,0,0,79.83,2
Calls,0,1,1,0.75,79.33,2
Calls,0,0,0,0,103.82,2
Checks,0,1,0,0.25,84.98,2
Folds,0,0,0,0,85.43,2
Calls,0,0,0,0,103.57,2
Folds,0,1,1,1.5,103.57,2
Raises,0,1,0,0.25,83.93,2
Raises,0,1,0,0.25,102.32,2
Calls,0,0,0,0,85.43,2
Folds,0,1,1,1.25,85.43,2
Raises,0,0,0,0,102.57,2
Folds,0,0,2,5.5,102.57,2
Raises,0,0,1,1.25,80.93,2
Checks,0,1,0,0.25,102.32,2
Calls,0,0,0,0,86.43,2
Calls,0,0,0,0,101.57,2
Calls,0,1,1,1.5,100.32,2
Raises,0,1,0,0.25,85.88,2
Calls,0,0,1,1.25,90.07,2
Raises,0,0,0,0,96.13,2
Calls,0,0,0,0,93.97,2
Checks,0,1,0,0.25,93.88,2
Folds,0,0,0,0,25.0,2
Checks,0,1,0,0.25,24.75,2
Calls,0,0,0,0,20.0,2
Calls,0,0,0,0,24.0,2
Checks,0,1,0,0.25,20.7,2
Folds,0,0,0,0,16.2,2
Folds,0,0,0,0,28.55,2
Folds,0,0,0,0,16.2,2
Raises,0,0,0,0,27.3,2
Calls,0,0,1,1.25,14.95,2
Calls,0,0,0,0,43.75,2
Folds,0,1,1,2.25,43.75,2
Raises,0,1,0,0.25,18.0,2
Folds,0,0,0,0,20.5,2
Raises,0,0,0,0,43.0,2
Folds,0,0,1,0.75,20.25,2
Calls,0,0,1,1.25,43.25,2
Raises,0,0,0,0,18.5,2
Calls,0,0,0,0,63.25,2
Checks,0,1,0,0.25,30.67,2
Folds,0,0,0,0,32.02,2
Calls,0,0,0,0,62.0,2
Checks,0,1,0,0.25,31.77,2
Checks,0,1,0,0.25,62.7,2
Calls,0,0,0,0,31.02,2
Raises,0,0,0,0,60.95,2
Folds,0,0,1,1.25,31.72,2
Calls,0,0,1,0.75,62.2,2
Raises,0,0,0,0,30.47,2
Raises,0,0,0,0,59.45,2
Folds,0,0,1,1.25,33.02,2
Folds,0,0,0,0,32.52,2
Raises,0,0,0,0,60.2,2
Folds,0,0,1,1.25,32.27,2
Checks,0,1,0,0.25,61.95,2
Calls,0,0,0,0,31.52,2
Calls,0,0,0,0,61.2,2
Checks,0,1,0,0.25,32.22,2
Raises,0,1,0,0.25,60.9,2
Calls,0,0,0,0,31.47,2
Folds,0,1,1,1.25,31.47,2
Calls,0,0,0,0,62.15,2
Checks,0,1,0,0.25,31.22,2
Folds,0,0,0,0,30.72,2
Raises,0,0,0,0,62.35,2
Folds,0,0,1,0.75,30.47,2
Checks,0,1,0,0.25,63.6,2
Calls,0,0,0,0,29.72,2
Calls,0,0,0,0,63.8,2
Checks,0,1,0,0.25,29.47,2
Raises,0,0,1,0.75,62.0,2
Raises,0,0,0,0,28.22,2
Calls,0,0,2,3.25,26.22,2
Calls,0,0,0,0,66.95,2
Checks,0,1,0,0.25,25.97,2
Folds,0,0,0,0,26.87,2
Raises,0,0,0,0,65.2,2
Calls,0,0,1,1.25,25.62,2
Folds,0,0,0,0,25.12,2
Raises,0,0,0,0,66.8,2
Folds,0,0,1,1.25,24.87,2
Raises,0,1,0,0.25,67.55,2
Calls,0,0,0,0,24.12,2
Calls,0,1,1,1.25,23.12,2
Raises,0,0,0,0,64.3,2
Folds,0,0,1,1.25,27.07,2
Folds,0,0,1,0.75,66.05,2
Raises,0,0,0,0,25.82,2
Raises,0,0,1,1.25,243.22,2
Raises,0,0,0,0,142.55,2
Folds,0,0,2,6.75,142.55,2
Raises,0,0,0,0,248.97,2
Calls,0,0,1,1.25,141.3,2
Folds,0,0,1,1.25,249.97,2
Raises,0,0,0,0,140.8,2
Raises,0,0,0,0,248.22,2
Calls,0,0,1,1.25,141.55,2
Folds,0,0,1,1.25,253.52,2
Raises,0,0,0,0,136.8,2
Folds,0,0,0,0,253.02,2
Folds,0,0,0,0,138.8,2
Folds,0,0,0,0,253.02,2
Folds,0,0,1,1.25,252.77,2
Raises,0,0,0,0,137.55,2
Raises,0,0,0,0,251.02,2
Calls,0,0,1,1.25,138.3,2
Folds,0,0,1,1.25,253.62,2
Raises,0,0,0,0,136.55,2
Raises,0,0,0,0,251.87,2
Folds,0,0,1,1.25,138.3,2
Raises,0,0,1,1.25,248.12,2
Raises,0,0,0,0,136.55,2
Calls,0,0,2,6.75,132.05,2
Raises,0,0,0,0,257.87,2
Calls,0,0,1,1.25,130.8,2
Calls,0,0,1,1.25,267.62,2
Raises,0,0,0,0,120.55,2
Folds,0,0,0,0,93.85,2
Raises,0,0,0,0,19.0,2
Folds,0,0,1,1.25,93.6,2
Folds,0,0,0,0,93.1,2
Calls,0,0,0,0,20.75,2
Folds,0,1,1,1.25,20.75,2
Raises,0,1,0,0.25,91.85,2
Raises,0,0,0,0,300.87,2
Calls,0,0,2,5.25,297.87,2
Raises,0,0,1,1.25,83.8,2
Folds,0,0,0,0,93.35,2
Calls,0,0,0,0,20.5,2
Checks,0,1,0,0.25,93.1,2
Calls,0,0,1,1.25,309.12,2
Raises,0,0,0,0,98.75,2
Calls,0,0,0,0,92.35,2
Checks,0,1,0,0.25,21.2,2
Raises,0,0,0,0,307.37,2
Calls,0,0,2,5.25,304.37,2
Raises,0,0,1,1.25,97.35,2
Calls,0,0,0,0,19.95,2
Calls,0,1,1,1.25,18.95,2
Raises,0,1,0,0.25,92.5,2
Folds,0,0,0,0,75.85,2
Raises,0,0,0,0,332.62,2
Folds,0,0,1,1.25,100.0,2
Folds,0,0,0,0,99.5,2
Raises,0,0,0,0,93.6,2
Folds,0,0,1,1.25,18.7,2
Raises,0,0,0,0,333.37,2
Calls,0,0,1,1.25,98.25,2
Raises,0,0,0,0,17.45,2
Calls,0,0,1,0.75,94.85,2
Folds,0,0,1,1.25,338.67,2
Raises,0,0,0,0,93.5,2
Folds,0,0,0,0,338.17,2
Folds,0,0,1,1.25,337.92,2
Raises,0,0,0,0,94.25,2
Folds,0,0,0,0,337.42,2
Folds,0,0,1,1.25,337.17,2
Raises,0,0,0,0,95.0,2
Folds,0,0,0,0,94.35,2
Raises,0,0,0,0,335.42,2
Calls,0,0,1,1.25,95.75,2
Calls,0,0,0,0,19.1,2
Checks,0,1,0,0.25,94.1,2
Folds,0,0,1,1.25,335.17,2
Raises,0,0,0,0,96.85,2
Raises,0,0,0,0,333.42,2
Folds,0,0,1,1.25,98.6,2
Raises,0,0,1,1.25,329.67,2
Calls,0,0,3,23.25,317.67,2
Raises,0,0,0,0,96.85,2
Raises,0,0,2,6.75,80.35,2
Raises,0,0,0,0,92.78,2
Calls,0,0,1,1.25,18.27,2
Calls,0,0,0,0,26.52,2
Calls,0,1,1,1.25,25.52,2
Raises,0,1,0,0.25,85.03,2
Raises,0,0,0,0,82.78,2
Calls,0,0,1,1.25,27.57,2
Raises,0,0,0,0,26.32,2
Calls,0,0,1,0.75,84.88,2
Raises,0,0,0,0,85.03,2
Folds,0,0,1,1.25,26.07,2
Folds,0,0,0,0,25.57,2
Raises,0,0,0,0,85.78,2
Folds,0,0,1,1.25,25.32,2
Folds,0,0,0,0,432.77,2
Folds,0,0,0,0,24.82,2
Calls,0,0,1,1.25,431.52,2
Raises,0,0,0,0,99.0,2
Folds,0,0,0,0,87.78,2
Calls,0,0,0,0,24.57,2
Checks,0,1,0,0.25,87.53,2
Folds,0,0,0,0,87.98,2
Calls,0,0,0,0,24.32,2
Checks,0,1,0,0.25,87.73,2
Raises,0,0,0,0,421.77,2
Folds,0,0,1,1.25,109.25,2
Folds,0,0,0,0,108.75,2
Raises,0,0,0,0,422.52,2
Folds,0,0,1,1.25,108.5,2
Raises,0,0,0,0,85.98,2
Calls,0,0,1,1.25,24.02,2
Folds,0,0,0,0,108.0,2
Folds,0,0,0,0,424.52,2
Folds,0,0,1,1.25,424.27,2
Raises,0,0,0,0,106.75,2
Folds,0,0,0,0,423.77,2
Folds,0,0,0,0,108.75,2
Raises,0,0,0,0,422.52,2
Folds,0,0,1,1.25,108.5,2
Folds,0,0,0,0,108.0,2
Raises,0,0,0,0,423.27,2
Folds,0,0,1,1.25,107.75,2
Folds,0,0,0,0,24.95,2
Folds,0,0,0,0,107.25,2
Raises,0,0,0,0,86.15,2
Folds,0,0,1,1.25,24.7,2
Folds,0,0,0,0,425.27,2
Folds,0,0,0,0,107.25,2
Raises,0,0,0,0,23.45,2
Calls,0,0,1,0.75,87.4,2
Folds,0,0,0,0,425.27,2
Folds,0,0,0,0,107.25,2
Raises,0,0,0,0,424.02,2
Folds,0,0,1,1.25,107.0,2
Raises,0,0,0,0,85.65,2
Calls,0,0,1,1.25,24.1,2
Folds,0,0,1,1.25,425.77,2
Raises,0,0,0,0,105.25,2
Folds,0,0,0,0,23.1,2
Raises,0,0,0,0,424.02,2
Folds,0,0,1,1.25,107.0,2
Folds,0,0,0,0,88.95,2
Folds,0,0,0,0,106.5,2
Calls,0,0,0,0,22.85,2
Checks,0,1,0,0.25,88.7,2
Folds,0,0,0,0,88.2,2
Calls,0,0,0,0,23.55,2
Calls,0,1,1,1.25,22.55,2
Raises,0,1,0,0.25,86.95,2
Calls,0,0,0,0,89.05,2
Checks,0,1,0,0.25,22.3,2
Calls,0,0,0,0,21.55,2
Checks,0,1,0,0.25,89.75,2
Raises,0,0,0,0,88.95,2
Folds,0,0,1,1.25,21.3,2
Folds,0,0,0,0,75.0,2
Raises,0,0,0,0,19.5,2
Calls,0,0,1,0.75,74.25,2
Folds,0,0,1,0.75,18.75,2
Raises,0,0,0,0,75.35,2
Raises,0,0,0,0,17.0,2
Folds,0,0,1,1.25,76.6,2
Calls,0,0,1,0.75,18.25,2
Raises,0,0,0,0,75.35,2
Calls,0,0,0,0,20.3,2
Checks,0,1,0,0.25,74.1,2
Folds,0,0,0,0,74.55,2
Raises,0,0,0,0,19.05,2
Folds,0,0,1,1.25,74.3,2
Calls,0,0,1,1.25,19.8,2
Raises,0,0,0,0,72.55,2
Raises,0,0,0,0,16.05,2
Calls,0,0,1,1.25,75.95,2
Calls,0,0,1,1.25,14.8,2
Raises,0,0,0,0,77.05,2
Calls,0,0,0,0,19.6,2
Checks,0,1,0,0.25,73.8,2
Folds,0,0,0,0,74.25,2
Calls,0,0,0,0,19.35,2
Checks,0,1,0,0.25,74.0,2
Raises,0,0,1,1.25,16.55,2
Raises,0,0,0,0,72.25,2
Folds,0,0,2,4.75,72.25,2
Calls,0,0,0,0,21.3,2
Checks,0,1,0,0.25,72.0,2
Folds,0,0,1,1.25,22.0,2
Raises,0,0,0,0,70.25,2
Raises,0,0,0,0,20.75,2
Folds,0,0,1,0.75,72.0,2
Calls,0,0,1,1.25,21.0,2
Raises,0,0,0,0,70.25,2
Calls,0,0,0,0,25.8,2
Calls,0,1,1,1.75,24.3,2
Raises,0,1,0,0.25,65.5,2
Folds,0,0,0,0,56.0,2
Calls,0,0,0,0,36.55,2
Checks,0,1,0,0.25,55.75,2
Folds,0,0,0,0,52.25,2
Calls,0,0,0,0,39.95,2
Checks,0,1,0,0.25,52.0,2
Folds,0,0,0,0,52.9,2
Calls,0,0,0,0,39.2,2
Checks,0,1,0,0.25,52.65,2
Folds,0,0,1,1.25,39.9,2
Raises,0,0,0,0,50.9,2
Raises,0,0,0,0,38.15,2
Folds,0,0,1,1.25,52.65,2
Calls,0,0,1,1.25,38.9,2
Raises,0,0,0,0,50.9,2
Raises,0,0,0,0,36.15,2
Calls,0,0,1,1.25,53.4,2
Folds,0,0,0,0,52.9,2
Raises,0,0,0,0,38.25,2
Calls,0,0,1,0.75,52.15,2
Calls,0,0,1,1.25,33.5,2
Raises,0,0,0,0,55.45,2
Folds,0,0,0,0,31.0,2
Folds,0,0,0,0,60.1,2
Raises,0,0,0,0,29.75,2
Calls,0,0,1,1.25,58.85,2
Raises,0,0,1,1.25,28.35,2
Raises,0,0,0,0,57.1,2
Calls,0,0,2,5.25,54.1,2
Calls,0,0,0,0,36.15,2
Checks,0,1,0,0.25,53.85,2
Calls,0,0,1,1.25,35.37,2
Raises,0,0,0,0,52.58,2
Calls,0,0,0,0,37.47,2
Checks,0,1,0,0.25,52.33,2
Calls,0,0,1,1.25,34.22,2
Raises,0,0,0,0,53.33,2
Folds,0,0,0,0,31.72,2
Calls,0,0,1,1.25,30.47,2
Raises,0,0,0,0,56.73,2
Calls,0,0,0,0,23.22,2
Checks,0,1,0,0.25,65.48,2
Raises,0,0,1,1.25,19.92,2
Raises,0,0,0,0,63.730000000000004,2
Folds,0,0,2,5.25,63.730000000000004,2
Raises,0,0,0,0,24.17,2
Calls,0,0,1,1.25,62.48,2
Folds,0,0,0,0,58.98,2
Folds,0,0,0,0,29.72,2
Folds,0,0,0,0,58.98,2
Raises,0,0,0,0,28.97,2
Calls,0,0,1,0.75,58.23,2
Folds,0,0,0,0,49.73,2
Folds,0,0,0,0,38.47,2
Folds,0,0,0,0,49.73,2
Calls,0,0,0,0,38.22,2
